Airline,Source,Destination,Duration,Total stops,Price,Departure Hour,Departure Min,Arrival Hour,Arrival Min
GoFirst,BOM,CCU,2.67,0,5942,5,50,8,30
GoFirst,BOM,CCU,2.75,0,5942,21,45,0,30
Air India,BOM,CCU,2.75,0,12322,21,5,23,50
Air India,BOM,CCU,2.83,0,15305,6,0,8,50
SpiceJet,BOM,CCU,2.67,0,6287,13,10,15,50
IndiGo,BOM,CCU,2.58,0,7789,17,35,20,10
IndiGo,BOM,CCU,2.58,0,5936,22,40,1,15
IndiGo,BOM,CCU,2.75,0,5693,6,25,9,10
GoFirst,BOM,CCU,2.67,0,5720,5,50,8,30
GoFirst,BOM,CCU,2.75,0,5943,21,45,0,30
SpiceJet,BOM,CCU,2.67,0,6405,13,10,15,50
GoFirst,BOM,CCU,2.75,0,5876,21,45,0,30
GoFirst,BOM,CCU,2.67,0,6104,5,50,8,30
Vistara,BOM,CCU,2.67,0,6699,7,0,9,40
IndiGo,BOM,CCU,2.58,0,5693,22,40,1,15
GoFirst,BOM,CCU,2.67,0,7220,5,50,8,30
GoFirst,BOM,CCU,2.75,0,5835,21,45,0,30
GoFirst,BOM,CCU,2.67,0,6058,5,50,8,30
GoFirst,BOM,CCU,2.67,0,5835,5,50,8,30
GoFirst,BOM,CCU,2.75,0,7500,21,45,0,30
GoFirst,BOM,CCU,2.75,0,5835,21,45,0,30
SpiceJet,BOM,CCU,2.67,0,6425,13,10,15,50
SpiceJet,BOM,CCU,2.67,0,6405,13,10,15,50
GoFirst,BOM,CCU,2.67,0,5719,5,50,8,30
SpiceJet,BOM,CCU,2.75,0,6405,20,50,23,35
SpiceJet,BOM,CCU,2.75,0,6405,6,10,8,55
Air India,BOM,CCU,2.83,0,7658,6,0,8,50
IndiGo,BOM,CCU,2.5,0,7789,7,50,10,20
Vistara,BOM,CCU,2.67,0,8127,7,0,9,40
IndiGo,BOM,CCU,2.75,0,7789,6,25,9,10
IndiGo,BOM,CCU,2.58,0,8917,9,50,12,25
IndiGo,BOM,CCU,2.58,0,8949,12,55,15,30
Vistara,BOM,CCU,2.83,0,9387,14,5,16,55
GoFirst,BOM,CCU,2.75,0,5719,21,45,0,30
IndiGo,BOM,CCU,2.92,0,8917,19,25,22,20
IndiGo,BOM,CCU,2.67,0,9606,17,15,19,55
IndiGo,BOM,CCU,2.58,0,7789,22,40,1,15
Air India,BOM,CCU,2.75,0,8640,21,5,23,50
SpiceJet,BOM,CCU,2.67,0,6425,13,10,15,50
SpiceJet,BOM,CCU,2.67,0,6287,13,10,15,50
GoFirst,BOM,CCU,2.67,0,5719,5,50,8,30
SpiceJet,BOM,CCU,2.75,0,6287,20,50,23,35
SpiceJet,BOM,CCU,2.75,0,6287,6,10,8,55
Air India,BOM,CCU,2.83,0,7658,6,0,8,50
Vistara,BOM,CCU,2.67,0,8127,7,0,9,40
Vistara,BOM,CCU,2.83,0,8127,14,5,16,55
IndiGo,BOM,CCU,2.5,0,7770,7,50,10,20
IndiGo,BOM,CCU,2.58,0,7770,9,50,12,25
IndiGo,BOM,CCU,2.58,0,7770,12,55,15,30
IndiGo,BOM,CCU,2.75,0,7770,6,25,9,10
IndiGo,BOM,CCU,2.92,0,7770,19,25,22,20
IndiGo,BOM,CCU,2.58,0,8417,17,35,20,10
GoFirst,BOM,CCU,2.75,0,5719,21,45,0,30
IndiGo,BOM,CCU,2.58,0,7770,22,40,1,15
Air India,BOM,CCU,2.75,0,9422,21,5,23,50
Vistara,BOM,CCU,2.67,0,6134,7,0,9,40
Vistara,BOM,CCU,2.67,0,6134,7,0,9,40
GoFirst,BOM,CCU,2.67,0,5719,5,50,8,30
SpiceJet,BOM,CCU,2.75,0,6405,6,10,8,55
SpiceJet,BOM,CCU,2.75,0,6405,20,50,23,35
Air India,BOM,CCU,2.83,0,7658,6,0,8,50
IndiGo,BOM,CCU,2.5,0,7770,7,50,10,20
IndiGo,BOM,CCU,2.58,0,7770,12,55,15,30
IndiGo,BOM,CCU,2.58,0,7770,9,50,12,25
IndiGo,BOM,CCU,2.58,0,7770,17,35,20,10
IndiGo,BOM,CCU,2.75,0,7770,6,25,9,10
IndiGo,BOM,CCU,2.92,0,7770,19,25,22,20
Vistara,BOM,CCU,2.83,0,8547,14,5,16,55
GoFirst,BOM,CCU,2.75,0,5719,21,45,0,30
IndiGo,BOM,CCU,2.58,0,7770,22,40,1,15
Air India,BOM,CCU,2.75,0,9548,21,5,23,50
GoFirst,BOM,CCU,2.67,0,5843,5,50,8,30
SpiceJet,BOM,CCU,2.75,0,6405,20,50,23,35
GoFirst,BOM,CCU,2.67,0,5719,5,50,8,30
SpiceJet,BOM,CCU,2.75,0,6405,6,10,8,55
